"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\components\bottom_navbar\bottom_navbar.dart", "Dart", 32, 2, 5, 39
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\components\home_page\categories_section.dart", "Dart", 179, 0, 3, 182
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\components\home_page\home_recipe_card.dart", "Dart", 108, 1, 5, 114
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\components\home_page\search_section.dart", "Dart", 126, 2, 5, 133
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\main.dart", "Dart", 29, 1, 4, 34
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\model\instructions_model.dart", "Dart", 30, 0, 10, 40
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\model\random_recipe_model.dart", "Dart", 40, 0, 7, 47
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\model\recipe_information_model.dart", "Dart", 45, 0, 7, 52
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\model\recipe_search_model.dart", "Dart", 31, 3, 7, 41
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\pages\categories_page.dart", "Dart", 10, 0, 3, 13
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\pages\favourite_page.dart", "Dart", 10, 0, 3, 13
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\pages\grocery_list_page.dart", "Dart", 10, 0, 3, 13
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\pages\home_page.dart", "Dart", 83, 4, 6, 93
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\pages\layout.dart", "Dart", 32, 2, 6, 40
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\pages\on_boarding_page.dart", "Dart", 42, 1, 8, 51
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\provider\api_service_notifier.dart", "Dart", 6, 0, 3, 9
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\provider\random_recipe_data.dart", "Dart", 18, 0, 4, 22
"c:\Users\ttsun\OneDrive\Desktop\Projects\Flutter\nomster\lib\services\api_service.dart", "Dart", 107, 2, 21, 130
"Total", "-", 938, 18, 110, 1066